Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,strongcompnum,eigencentrality
16_121,,,7,2,9,7,2,9,18,0.106478,0.119394,0.000923,0.000325,0,1081,0.370257
21_87,,,3,5,8,3,5,8,24,0.090871,0.107356,0.000948,0.000225,0,1081,0.070079
28_24,,,2,0,2,2,0,2,0,0,0,0,0.000146,0,885,0.059692
37_23,,,4,1,5,4,1,5,3,0.5,0.583333,0.000136,0.000281,0,438,0.19355
42_52,,,8,1,9,8,1,9,23,0.087691,0.095899,0.003041,0.000509,0,1081,0.199938
90_10,,,2,2,4,2,2,4,23,0.083453,0.091828,0.000355,0.000229,0,1081,0.075679
2_90,,,1,1,2,1,1,2,19,0.099326,0.108209,0.000147,0.000125,0,1200,0.031879
3_7,,,3,14,17,3,14,17,21,0.111282,0.139746,0.005533,0.000213,0,1081,0.109219
4_69,,,2,2,4,2,2,4,1,1,1,0.000003,0.00022,0,1199,0.03775
4_70,,,1,0,1,1,0,1,0,0,0,0,0.000125,0,1197,0.031879
5_2,,,5,10,15,5,10,15,21,0.093419,0.111009,0.001829,0.00027,0,1081,0.16862
5_60,,,2,0,2,2,0,2,0,0,0,0,0.000187,0,1196,0.049039
5_77,,,1,0,1,1,0,1,0,0,0,0,0.000125,0,1195,0.031879
5_78,,,2,0,2,2,0,2,0,0,0,0,0.000187,0,1194,0.049039
5_79,,,2,2,4,2,2,4,1,1,1,0.000005,0.000167,0,1179,0.063922
7_186,,,5,2,7,5,2,7,19,0.096263,0.106988,0.003209,0.000548,0,1081,0.182316
10_88,,,7,4,11,7,4,11,21,0.10493,0.116594,0.016241,0.000964,0,1081,0.376754
10_89,,,4,0,4,4,0,4,0,0,0,0,0.000397,0,1076,0.180052
18_17,,,5,0,5,5,0,5,0,0,0,0,0.000536,0,436,0.165582
58_14,,,1,1,2,1,1,2,21,0.086237,0.096444,0.000098,0.000125,0,1193,0.031879
2_2,,,3,6,9,3,6,9,20,0.101863,0.118773,0.005332,0.000282,0,1081,0.277513
2_3,,,3,9,12,3,9,12,19,0.107658,0.129293,0.004731,0.000208,0,1081,0.104493
10_57,,,2,2,4,2,2,4,23,0.087704,0.096378,0.000103,0.000178,0,1081,0.100116
17_82,,,10,3,13,10,3,13,23,0.087669,0.096431,0.000173,0.001284,0,1081,0.702799
32_1,,,4,0,4,4,0,4,0,0,0,0,0.000417,0,273,0.45405
32_2,,,3,0,3,3,0,3,0,0,0,0,0.00038,0,272,0.339516
41_44,,,13,4,17,13,4,17,22,0.096067,0.107981,0.008347,0.001839,0,1081,0.762924
2_1,,,4,0,4,4,0,4,0,0,0,0,0.000531,0,894,0.365055
2_5,,,1,5,6,1,5,6,19,0.114968,0.140766,0.002716,0.000132,0,1081,0.039555
9_61,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,605,0.039555
12_17,,,1,0,1,1,0,1,0,0,0,0,0.000132,0,604,0.039555
35_28,,,2,2,4,2,2,4,1,1,1,0.000152,0.00018,0,350,0.056223
50_33,,,2,0,2,2,0,2,0,0,0,0,0.00018,0,603,0.045426
67_12,,,4,0,4,4,0,4,0,0,0,0,0.000372,0,602,0.057168
84_25,,,1,2,3,1,2,3,24,0.078909,0.089644,0.00143,0.000132,0,1081,0.039555
2_4,,,1,16,17,1,16,17,18,0.117207,0.144416,0.001376,0.000135,0,1081,0.01912
2_285,,,3,0,3,3,0,3,0,0,0,0,0.000249,0,502,0.040769
3_199,,,7,13,20,7,13,20,18,0.111403,0.132034,0.001386,0.00034,0,1081,0.242457
4_47,,,1,3,4,1,3,4,22,0.09169,0.101718,0.00013,0.00012,0,1081,0.013827
4_152,,,1,1,2,1,1,2,1,1,1,0,0.00012,0,892,0.013827
5_68,,,3,0,3,3,0,3,0,0,0,0,0.000467,0,402,0.148277
28_52,,,5,9,14,5,9,14,18,0.109723,0.128461,0.000863,0.000209,0,1081,0.286209
28_53,,,6,0,6,6,0,6,0,0,0,0,0.000241,0,634,0.29208
28_54,,,5,0,5,5,0,5,0,0,0,0,0.000209,0,633,0.286209
29_46,,,2,3,5,2,3,5,18,0.099799,0.111739,0.000557,0.000246,0,1081,0.039414
87_1,,,4,1,5,4,1,5,1,1,1,0.000079,0.000253,0,627,0.050521
87_2,,,3,0,3,3,0,3,0,0,0,0,0.000158,0,625,0.04465
87_3,,,5,1,6,5,1,6,1,1,1,0.000027,0.000398,0,624,0.106905
87_4,,,2,0,2,2,0,2,0,0,0,0,0.000135,0,623,0.031437
87_5,,,1,0,1,1,0,1,0,0,0,0,0.00012,0,622,0.013827
2_6,,,3,7,10,3,7,10,21,0.096659,0.111321,0.000714,0.000191,0,1081,0.030862
2_7,,,2,7,9,2,7,9,21,0.090422,0.109288,0.003641,0.00024,0,1081,0.085299
2_145,,,1,2,3,1,2,3,21,0.093812,0.102174,0,0.000136,0,1081,0.022859
10_96,,,19,0,19,19,0,19,0,0,0,0,0.001242,0,56,0.500355
10_97,,,20,2,22,20,2,22,20,0.103438,0.11483,0.014012,0.001267,0,1081,0.520367
11_12,,,3,5,8,3,5,8,2,0.666667,0.75,0.000355,0.000208,0,621,0.034601
13_40,,,11,6,17,11,6,17,2,0.8,0.875,0.000576,0.00068,0,613,0.228706
14_28,,,8,3,11,8,3,11,29,0.054801,0.061756,0.001108,0.000565,0,1081,0.212752
14_29,,,5,0,5,5,0,5,0,0,0,0,0.000306,0,606,0.097799
4_155,,,3,1,4,3,1,4,2,0.666667,0.75,0.000055,0.000367,0,535,0.060027
6_110,,,13,5,18,13,5,18,26,0.069374,0.080644,0.001445,0.000845,0,1081,0.231315
42_24,,,1,6,7,1,6,7,2,0.875,0.928571,0.00041,0.000142,0,532,0.034193
45_23,,,2,1,3,2,1,3,20,0.087846,0.095465,0.000088,0.000247,0,1081,0.100373
