Source,Target
2_74,24_39
2_74,24_40
2_74,33_72
2_74,34_24
2_74,37_147
2_74,41_11
2_74,41_21
2_74,53_9
2_74,55_6
2_74,57_16
2_74,59_21
2_74,76_24
2_75,2_44
2_75,5_13
2_75,9_6
2_76,2_77
2_76,3_72
2_78,29_48
2_78,62_2
2_80,2_82
2_81,4_123
2_81,4_124
2_83,4_36
2_83,16_36
2_83,17_23
2_83,17_26
2_83,21_25
2_83,31_14
2_84,2_54
2_87,3_50
2_87,5_44
2_87,5_110
2_87,23_44
2_87,26_193
2_87,26_194
2_87,26_195
2_87,42_52
2_88,4_155
2_88,41_5
2_90,40_60
2_91,2_87
2_91,2_146
2_92,7_148
2_92,7_149
2_96,3_61
2_96,19_75
2_96,62_6
2_96,62_7
2_96,62_8
2_97,4_150
2_97,4_151
2_97,12_66
2_97,17_82
2_97,19_64
2_97,26_192
2_97,26_193
2_97,26_194
2_97,41_44
2_98,22_75
2_101,7_157
2_102,2_30
2_102,2_101
2_102,2_246
2_102,2_251
2_102,4_11
2_102,7_116
2_102,7_155
2_102,20_66
2_102,20_116
2_102,21_3
2_102,26_153
2_102,28_80
2_102,39_6
2_102,39_9
2_102,40_7
2_102,40_13
2_102,42_5
2_102,57_25
2_104,4_46
2_106,2_187
2_106,18_24
2_106,87_6
2_106,3_93
2_107,7_54
2_108,2_217
2_108,2_219
2_108,2_220
2_108,4_110
2_108,4_153
2_108,5_101
2_108,14_28
2_108,14_29
2_109,3_186
2_109,9_5
2_109,9_29
2_110,40_52
2_111,5_18
2_112,3_20
2_112,4_142
2_112,18_110
2_112,24_39
2_112,25_23
2_112,107_4
2_112,107_5
2_112,107_6
2_112,107_7
2_113,22_17
2_113,34_26
2_114,8_34
2_114,9_17
2_114,9_18
2_114,9_28
2_114,48_25
2_115,2_142
2_115,2_144
2_115,2_150
2_115,3_199
2_115,40_60
2_115,58_7
2_116,6_101
2_116,13_15
2_116,19_88
2_116,19_89
2_116,19_90
2_116,19_91
2_116,19_92
2_116,19_93
2_116,19_94
2_116,19_95
2_116,112_1
2_116,112_2
2_116,112_3
2_116,112_4
2_117,3_59
2_117,16_40
2_117,36_82
2_117,54_50
2_118,2_55
2_118,4_153
2_118,6_124
2_118,10_96
2_118,10_97
2_118,17_90
2_118,17_91
2_118,17_92
2_118,17_93
2_118,25_21
2_118,51_52
2_118,51_53
2_118,74_52
2_119,13_40
2_119,50_45
2_119,88_21
2_119,88_22
2_120,109_6
2_121,3_20
2_121,5_66
2_121,5_68
2_121,7_157
2_121,11_17
2_121,17_107
2_121,17_108
2_121,28_52
2_121,28_53
2_121,28_54
2_121,91_2
2_124,2_125
2_124,2_127
2_124,2_128
2_124,2_129
2_124,2_131
2_124,3_67
2_124,3_68
2_124,6_115
2_124,6_161
2_124,9_112
2_124,16_120
2_124,16_121
2_124,16_122
2_124,16_123
2_124,29_27
2_124,30_17
2_124,33_35
2_124,37_113
2_124,53_37
2_124,66_12
2_125,3_96
2_125,3_97
2_125,5_97
2_125,9_84
2_125,9_109
2_125,14_37
2_125,14_40
2_125,22_25
2_125,22_26
2_125,24_36
2_125,53_4
2_125,66_5
2_126,2_129
2_126,3_97
2_126,10_69
2_126,10_70
2_126,11_102
2_126,14_39
2_126,17_20
2_126,22_48
2_126,29_67
2_126,31_23
2_126,31_24
2_126,43_33
2_126,43_34
2_126,43_35
2_127,14_37
2_127,22_26
2_127,23_60
2_128,2_124
2_128,2_129
2_128,7_158
2_128,7_159
2_128,14_35
2_128,25_74
2_128,62_2
2_129,61_6
2_130,3_67
2_130,3_68
2_130,6_78
2_130,6_79
2_130,9_114
2_130,16_120
2_130,16_121
2_130,16_122
2_130,31_13
2_130,43_26
2_130,43_27
2_132,11_71
2_132,21_72
2_132,29_27
2_132,43_28
2_132,92_5
2_132,92_6
2_132,92_7
2_132,92_8
2_132,92_9
2_132,92_10
2_133,3_83
2_133,21_25
2_136,3_52
2_136,4_150
2_136,4_151
2_136,5_20
2_136,7_160
2_138,2_135
2_138,2_136
2_138,4_36
2_138,30_30
2_139,2_258
2_139,3_20
2_139,6_80
2_139,10_41
2_140,3_67
2_142,2_144
2_142,2_177
2_143,9_124
2_143,9_125
2_143,17_82
2_143,22_78
2_143,41_44
2_144,2_115
2_144,2_142
2_144,2_143
2_145,10_96
2_145,10_97
2_148,5_48
2_150,2_144
2_151,3_164
2_151,14_28
2_152,3_102
2_152,14_7
2_153,2_45
2_153,39_10
2_155,16_112
2_155,47_31
2_158,4_40
2_163,3_1
2_163,3_2
2_163,2_163
2_164,3_190
2_164,3_191
2_164,11_6
2_164,22_61
2_164,36_33
2_164,36_34
2_164,36_35
2_164,36_36
2_164,36_40
2_165,89_25
2_165,89_26
2_166,14_22
2_166,19_81
2_166,19_82
2_166,28_63
2_166,29_25
2_166,34_31
2_166,34_32
2_166,34_33
2_166,34_41
2_166,46_5
2_166,46_6
2_167,14_18
2_167,24_39
2_167,25_23
2_168,18_50
2_168,35_6
2_171,6_39
2_171,16_60
2_172,23_51
2_173,5_96
2_174,4_10
2_177,3_92
2_177,13_20
2_177,22_37
2_177,41_6
2_177,41_7
2_177,59_9
2_177,76_8
2_177,76_9
2_177,79_18
2_177,79_19
2_177,91_9
2_177,91_10
2_178,5_45
2_180,4_7
2_180,4_11
2_182,2_229
2_183,2_144
2_183,5_48
2_184,2_185
2_184,2_187
2_185,2_200
2_185,4_103
2_185,25_32
2_185,25_33
2_185,44_3
2_185,50_39
2_185,50_40
2_185,62_10
2_185,97_1
2_186,16_128
2_186,20_46
2_186,40_60
2_187,57_9
2_187,65_2
2_190,9_5
2_190,9_36
2_190,22_39
2_191,9_5
2_191,48_24
2_191,48_25
2_193,2_194
2_193,42_40
2_194,16_126
2_194,49_9
2_195,4_84
2_196,2_197
2_196,6_38
2_196,7_142
2_196,29_48
2_197,2_187
2_197,2_189
2_197,2_203
2_197,6_145
2_197,7_26
2_197,9_36
2_197,22_25
2_200,2_74
2_200,4_77
2_200,37_147
2_200,53_9
2_203,23_79
2_204,4_108
2_204,19_97
2_204,63_1
2_205,62_9
2_205,79_22
2_205,79_23
2_205,79_24
2_205,79_25
2_205,79_26
2_206,22_72
2_207,9_111
2_208,2_169
2_208,35_6
2_210,6_158
2_210,25_25
2_210,89_21
2_210,89_22
2_210,89_23
2_211,14_28
2_211,14_29
2_212,34_39
2_214,29_1
2_214,29_2
2_214,29_3
2_214,33_10
2_214,33_11
2_214,33_12
2_214,43_8
2_214,94_5
2_214,94_6
2_219,2_220
2_219,3_190
2_219,4_43
2_219,5_90
2_219,5_91
2_220,4_10
2_220,6_152
2_220,17_34
2_221,5_5
2_221,60_10
2_222,5_2
2_222,9_5
2_222,62_10
2_223,7_80
2_223,26_165
2_223,26_166
2_224,24_22
2_225,5_89
2_228,4_34
2_228,65_1
2_229,2_228
2_229,4_4
2_229,4_19
2_229,4_20
2_233,4_23
2_233,31_14
2_233,46_15
2_233,65_6
2_233,65_7
2_234,2_240
2_234,65_4
2_235,28_69
2_235,60_1
2_236,2_241
2_236,33_28
2_236,33_49
2_238,6_55
2_238,6_75
2_238,33_40
2_238,87_1
2_238,87_2
2_238,87_3
2_238,87_4
2_239,4_102
2_239,4_103
2_240,2_234
2_240,4_11
2_240,4_12
2_240,33_49
2_242,2_236
2_244,3_168
2_244,4_77
2_244,4_78
2_245,2_261
2_245,9_38
2_245,39_10
2_245,112_1
2_251,22_40
2_253,17_55
2_254,23_101
2_255,3_1
2_255,3_2
2_255,13_9
2_255,19_64
2_255,19_93
2_255,19_94
2_255,19_95
2_255,20_110
2_255,20_111
2_255,21_28
2_255,30_25
2_255,34_23
2_255,40_1
2_255,40_3
2_255,53_26
2_256,9_123
2_256,13_11
2_256,48_16
2_256,66_9
2_257,6_1
2_257,6_153
2_257,16_48
2_258,28_38
2_260,39_53
2_261,2_245
2_261,39_10
2_266,29_43
2_267,3_92
2_267,22_37
2_271,63_10
2_272,41_46
2_272,45_15
2_272,60_8
2_273,4_101
2_273,15_75
2_273,47_30
2_273,48_29
2_273,73_20
2_275,2_230
2_275,5_95
2_275,12_76
2_276,5_100
2_276,8_37
2_276,30_39
2_282,8_29
2_282,57_28
2_283,4_135
2_283,5_106
2_284,2_285
2_284,2_286
2_284,3_29
2_284,11_18
2_284,20_7
2_286,2_255
2_286,4_123
2_286,53_16
2_286,53_39
2_286,53_40
2_286,53_41
3_1,2_1
3_2,2_255
3_6,39_6
3_7,3_59
3_7,3_106
3_7,4_82
3_7,6_151
3_7,7_53
3_7,12_36
3_7,12_100
3_7,17_23
3_7,39_23
3_7,43_59
3_7,59_8
3_7,59_10
3_7,89_22
3_7,112_1
3_10,3_196
3_10,3_197
3_10,9_85
3_10,21_98
3_10,40_52
3_13,3_123
3_13,8_42
3_13,8_44
3_14,8_60
3_15,9_72
3_17,12_98
3_18,4_166
3_19,3_85
3_20,3_85
3_20,7_158
3_20,12_108
3_20,21_23
3_20,25_1
3_26,6_124
3_26,17_21
3_26,43_31
3_26,43_32
3_28,4_144
3_28,5_51
3_28,8_73
3_28,16_106
3_28,60_1
3_30,43_38
3_30,75_13
3_32,3_81
3_39,28_7
3_41,19_10
3_43,2_116
3_45,3_39
3_47,54_50
3_50,43_63
3_55,4_156
3_55,4_157
3_55,4_158
3_55,4_159
3_55,6_60
3_55,24_55
3_55,39_42
3_56,13_34
3_58,19_34
3_58,19_35
3_59,19_21
3_61,9_29
3_64,2_125
3_64,16_36
3_64,21_25
3_64,66_5
3_67,2_135
3_79,9_31
3_80,16_36
3_80,21_25
3_80,21_29
3_80,43_45
3_83,13_15
3_83,16_48
3_83,16_49
3_83,16_50
3_83,31_25
3_90,4_18
3_91,2_123
3_91,2_254
3_91,5_36
3_91,14_31
3_93,2_97
3_93,2_177
3_93,3_92
3_93,12_66
3_93,76_8
3_95,6_161
3_95,16_123
3_97,2_125
3_97,2_196
3_97,3_85
3_97,5_101
3_97,29_67
3_97,106_3
3_97,106_4
3_100,2_109
3_101,57_8
3_102,64_16
3_103,3_112
3_103,8_62
3_103,8_63
3_110,2_143
3_110,5_79
3_110,56_39
3_110,56_40
3_114,3_199
3_123,9_25
3_123,9_26
3_123,9_27
3_124,3_123
3_125,3_121
3_125,8_9
3_125,8_10
3_126,47_4
3_126,47_5
3_126,47_6
3_128,2_272
3_128,13_40
3_128,28_56
3_133,55_54
3_133,57_21
3_134,2_274
3_135,4_110
3_135,9_104
3_142,2_214
3_142,29_1
3_142,29_2
3_142,29_3
3_145,6_2
3_145,17_18
3_145,17_19
3_145,35_11
3_145,42_20
3_153,20_71
3_154,8_11
3_154,48_12
3_159,4_155
3_159,9_128
3_159,23_40
3_160,3_126
3_162,13_19
