Id,Label,timeset,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
20_108,,,3,0.000722,0.326918,0.032709,3,3,6,24,0.07794,0.088346,12461.514683,0.000755,0.000317,55,0.2,0.000386,0,1081,0.1,0.166543
24_25,,,1,0.000241,0.004811,0.001375,1,0,1,0,0,0,0,0.000198,0,55,0,0.000123,0,1127,0,0.026864
25_26,,,5,0.001203,0.005533,0.001767,5,6,11,23,0.072875,0.081229,1009.316667,0.000653,0.0002,55,0.109091,0.000212,0,1126,0.054545,0.053887
37_53,,,1,0.000241,0.004811,0.001375,1,0,1,0,0,0,0,0.000198,0,55,0,0.000123,0,1123,0,0.026864
40_16,,,6,0.001443,0.327159,0.026662,6,0,6,0,0,0,0,0.001345,0,55,0.333333,0.000234,0,992,0.166667,0.113533
69_18,,,2,0.000481,0.32764,0.029243,2,0,2,0,0,0,0,0.000231,0,22,0,0.000214,0,66,0,0.041016
78_38,,,6,0.001443,0.326918,0.033899,6,4,10,22,0.089936,0.102086,81127.428805,0.003377,0.000566,14,0.027778,0.000481,0,1081,0.013889,0.186591
114_1,,,2,0.000481,0.005052,0.001494,2,0,2,0,0,0,0,0.000229,0,55,0,0.000137,0,1122,0,0.029917
114_2,,,2,0.000481,0.005052,0.001494,2,0,2,0,0,0,0,0.000229,0,55,0,0.000137,0,1121,0,0.029917
1_5,,,4,0.000962,0.003608,0.001746,4,14,18,17,0.150221,0.183023,19688.897924,0.000105,0.001211,106,0.066176,0.00036,0,1202,0.033088,0.07035
1_6,,,4,0.000962,0.326918,0.026151,4,9,13,18,0.109234,0.127587,35449.145335,0.000173,0.000918,91,0.015152,0.000317,0,1081,0.007576,0.111542
1_7,,,2,0.000481,0.006495,0.002139,2,15,17,16,0.135777,0.164961,21283.888065,0.00016,0.000078,91,0.014706,0.00021,0,1201,0.007353,0.054207
11_123,,,6,0.001443,0.004089,0.002107,6,0,6,0,0,0,0,0.000283,0,106,0.666667,0.000511,0,1186,0.366667,0.140938
15_97,,,3,0.000722,0.328121,0.020376,3,0,3,0,0,0,0,0.000184,0,7,0,0.000184,0,620,0,0.06034
15_98,,,3,0.000722,0.328121,0.020376,3,0,3,0,0,0,0,0.000184,0,7,0,0.000184,0,619,0,0.06034
15_99,,,5,0.001203,0.328843,0.023035,5,5,10,1,1,1,2723.462121,0.00019,0.000005,106,0,0.000458,0,618,0,0.097113
17_1,,,2,0.000481,0.326918,0.028216,2,15,17,22,0.095471,0.11916,79758.507785,0.000198,0.000159,5,0.007353,0.000161,0,1081,0.003676,0.100854
18_1,,,3,0.000722,0.327159,0.02844,3,0,3,0,0,0,0,0.000204,0,91,0,0.000204,0,601,0,0.128768
67_29,,,4,0.000962,0.003849,0.001664,4,1,5,1,1,1,0,0.000271,0.000037,106,0.6,0.000185,0,1187,0.3,0.063531
72_19,,,3,0.000722,0.326918,0.030613,3,1,4,21,0.103537,0.116461,17669.195208,0.000352,0.00002,23,0.166667,0.000183,0,1081,0.166667,0.135828
73_9,,,7,0.001684,0.003608,0.002005,7,2,9,18,0.13062,0.149298,8497.817857,0.000286,0.00005,106,0.214286,0.000397,0,1202,0.107143,0.075676
3_8,,,1,0.000241,0.327159,0.024249,1,0,1,0,0,0,0,0.000119,0,91,0,0.000143,0,888,0,0.046593
4_136,,,3,0.000722,0.326918,0.028323,3,2,5,19,0.098505,0.110462,30766.78652,0.000195,0.000024,17,0,0.000176,0,1081,0,0.120167
7_43,,,7,0.001684,0.33197,0.029484,7,1,8,1,1,1,1336.291667,0.000242,0,91,0,0.000721,0,519,0,0.129896
16_121,,,7,0.001684,0.326918,0.032351,7,2,9,18,0.106478,0.119394,15954.698449,0.003777,0.000445,23,0.305556,0.000325,0,1081,0.166667,0.338811
21_87,,,3,0.000722,0.326918,0.024272,3,5,8,24,0.090871,0.107356,16383.340934,0.000124,0.000004,20,0.035714,0.000225,0,1081,0.017857,0.055685
28_24,,,2,0.000481,0.327159,0.02427,2,0,2,0,0,0,0,0.000672,0,91,0,0.000146,0,885,0,0.049645
37_23,,,4,0.000962,0.32764,0.029883,4,1,5,3,0.5,0.583333,2354.781818,0.00021,0.000096,91,0,0.000281,0,438,0,0.164291
42_52,,,8,0.001924,0.326918,0.034975,8,1,9,23,0.087691,0.095899,52534.689938,0.001599,0.000136,14,0,0.000509,0,1081,0,0.163174
90_10,,,2,0.000481,0.326918,0.024275,2,2,4,23,0.083453,0.091828,6124.638095,0.000131,0.000276,26,0,0.000229,0,1081,0,0.063108
2_90,,,1,0.000241,0.006736,0.001715,1,1,2,19,0.099326,0.108209,2535.047619,0.00001,0.000093,21,0,0.000125,0,1200,0,0.025938
